id,dag_id,execution_date,state,run_id,external_trigger,conf,end_date,start_date,run_type,last_scheduling_decision,dag_hash,creating_job_id
1038,DAG_damage_return_etl2,"2021-01-06 10:05:00.000000",success,scheduled__2021-01-06T10:05:00+00:00,0,...,"2021-01-06 10:10:18.212153","2021-01-06 10:10:00.681552",scheduled,"2021-01-06 10:10:18.208351",da9e47668ce045243bfbc955612039e9,983
1041,DAG_damage_return_etl2,"2021-01-06 10:10:00.000000",success,scheduled__2021-01-06T10:10:00+00:00,0,...,"2021-01-06 10:15:02.657833","2021-01-06 10:15:00.112874",scheduled,"2021-01-06 10:15:02.652806",da9e47668ce045243bfbc955612039e9,983
1087,DAG_damage_return_etl2,"2021-01-06 10:15:00.000000",success,scheduled__2021-01-06T10:15:00+00:00,0,...,"2021-01-06 20:15:37.887926","2021-01-06 20:15:34.596507",scheduled,"2021-01-06 20:15:37.879170",da9e47668ce045243bfbc955612039e9,1052
1088,DAG_damage_return_etl2,"2021-01-06 10:20:00.000000",success,scheduled__2021-01-06T10:20:00+00:00,0,...,"2021-01-07 10:02:15.385025","2021-01-06 20:15:37.824037",scheduled,"2021-01-07 10:02:15.381943",da9e47668ce045243bfbc955612039e9,1052
1113,DAG_damage_return_etl2,"2021-01-06 13:40:24.199000",success,drun-6,1,...,"2021-01-07 10:02:23.674355","2021-01-07 09:24:50.900179",manual,"2021-01-07 10:02:23.670552",da9e47668ce045243bfbc955612039e9,NULL
1116,DAG_damage_return_etl2,"2021-01-07 09:34:55.831967",success,manual__2021-01-07T09:34:55.831967+00:00,1,...,"2021-01-07 10:02:23.683242","2021-01-07 09:34:55.834367",manual,"2021-01-07 10:02:23.676487",da9e47668ce045243bfbc955612039e9,NULL
1117,DAG_damage_return_etl2,"2021-01-07 09:35:57.471920",success,manual__2021-01-07T09:35:57.471920+00:00,1,...,"2021-01-07 10:02:23.691190","2021-01-07 09:35:57.474176",manual,"2021-01-07 10:02:23.684772",da9e47668ce045243bfbc955612039e9,NULL
1118,DAG_damage_return_etl2,"2021-01-07 09:46:58.875639",success,manual__2021-01-07T09:46:58.875639+00:00,1,...,"2021-01-07 10:02:23.699172","2021-01-07 09:46:58.878108",manual,"2021-01-07 10:02:23.692750",da9e47668ce045243bfbc955612039e9,NULL
1119,DAG_damage_return_etl2,"2021-01-07 09:47:52.403028",success,manual__2021-01-07T09:47:52.403028+00:00,1,...,"2021-01-07 10:02:23.707105","2021-01-07 09:47:52.405295",manual,"2021-01-07 10:02:23.700635",da9e47668ce045243bfbc955612039e9,NULL
1120,DAG_damage_return_etl2,"2021-01-07 09:49:16.817500",success,manual__2021-01-07T09:49:16.817500+00:00,1,...,"2021-01-07 10:02:23.719168","2021-01-07 09:49:16.819240",manual,"2021-01-07 10:02:23.708484",da9e47668ce045243bfbc955612039e9,NULL
1121,DAG_damage_return_etl2,"2021-01-07 10:07:07.239763",success,manual__2021-01-07T10:07:07.239763+00:00,1,...,"2021-01-07 10:07:10.318656","2021-01-07 10:07:07.243267",manual,"2021-01-07 10:07:10.315302",da9e47668ce045243bfbc955612039e9,NULL
1122,DAG_damage_return_etl2,"2021-01-07 10:08:06.319984",success,manual__2021-01-07T10:08:06.319984+00:00,1,...,"2021-01-07 10:08:09.700475","2021-01-07 10:08:06.335218",manual,"2021-01-07 10:08:09.697040",da9e47668ce045243bfbc955612039e9,NULL
